onset	duration	trial_type	stim_id	stim_file	stim_nsd_id	button_press
0	2	blank	n/a	n/a	n/a	0
4	2	blank	n/a	n/a	n/a	0
8	2	blank	n/a	n/a	n/a	0
12	2	stimulus	17	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-017_nsd-023374.png	23374	0
16	2	stimulus	78	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-028_nsd-043784.png	43784	0
20	2	stimulus	72	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-022_nsd-032861.png	32861	0
24	2	stimulus	102	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-002_nsd-008466.png	8466	0
28	2	stimulus	66	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-016_nsd-027571.png	27571	0
32	2	stimulus	42	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-042_nsd-064023.png	64023	0
36	2	stimulus	82	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-032_nsd-047783.png	47783	0
40	2	stimulus	14	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-014_nsd-019405.png	19405	0
44	2	stimulus	73	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-023_nsd-035769.png	35769	0
48	2	stimulus	145	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-045_nsd-067683.png	67683	0
52	2	stimulus	133	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-033_nsd-047006.png	47006	0
56	2	stimulus	45	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-045_nsd-065824.png	65824	0
60	2	blank	n/a	n/a	n/a	0
64	2	stimulus	92	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-042_nsd-061784.png	61784	0
68	2	catch	151	catch_images/catch_10.png	n/a	1
72	2	stimulus	54	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-004_nsd-005622.png	5622	0
76	2	stimulus	150	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-050_nsd-072386.png	72386	0
80	2	stimulus	123	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-023_nsd-034172.png	34172	0
84	2	stimulus	149	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-049_nsd-071999.png	71999	0
88	2	stimulus	11	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-011_nsd-018147.png	18147	0
92	2	stimulus	33	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-033_nsd-052285.png	52285	0
96	2	blank	n/a	n/a	n/a	0
100	2	stimulus	3	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-003_nsd-004298.png	4298	0
104	2	stimulus	90	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-040_nsd-059114.png	59114	0
108	2	stimulus	12	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-012_nsd-018576.png	18576	0
112	2	stimulus	31	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-031_nsd-048747.png	48747	0
116	2	stimulus	85	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-035_nsd-049531.png	49531	0
120	2	stimulus	113	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-013_nsd-027677.png	27677	0
124	2	stimulus	97	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-047_nsd-067918.png	67918	0
128	2	stimulus	142	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-042_nsd-064359.png	64359	0
132	2	stimulus	125	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-025_nsd-035296.png	35296	0
136	2	stimulus	115	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-015_nsd-027888.png	27888	0
140	2	stimulus	106	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-006_nsd-017513.png	17513	0
144	2	stimulus	4	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-004_nsd-005749.png	5749	0
148	2	blank	n/a	n/a	n/a	0
152	2	stimulus	57	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-007_nsd-009742.png	9742	0
156	2	stimulus	2	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-002_nsd-001153.png	1153	0
160	2	stimulus	110	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-010_nsd-021688.png	21688	0
164	2	stimulus	107	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-007_nsd-017700.png	17700	0
168	2	stimulus	25	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-025_nsd-035996.png	35996	0
172	2	stimulus	108	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-008_nsd-017820.png	17820	0
176	2	stimulus	22	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-022_nsd-031487.png	31487	0
180	2	stimulus	15	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-015_nsd-021860.png	21860	0
184	2	stimulus	124	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-024_nsd-034839.png	34839	0
188	2	stimulus	77	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-027_nsd-041155.png	41155	0
192	2	stimulus	46	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-046_nsd-065997.png	65997	0
196	2	stimulus	61	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-011_nsd-014968.png	14968	0
200	2	blank	n/a	n/a	n/a	0
204	2	stimulus	147	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-047_nsd-069292.png	69292	0
208	2	stimulus	13	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-013_nsd-019088.png	19088	0
212	2	stimulus	128	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-028_nsd-042106.png	42106	0
216	2	stimulus	103	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-003_nsd-008797.png	8797	0
220	2	stimulus	88	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-038_nsd-057319.png	57319	0
224	2	stimulus	87	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-037_nsd-054386.png	54386	0
228	2	stimulus	130	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-030_nsd-046225.png	46225	0
232	2	stimulus	37	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-037_nsd-058829.png	58829	0
236	2	stimulus	135	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-035_nsd-052792.png	52792	0
240	2	blank	n/a	n/a	n/a	0
244	2	stimulus	146	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-046_nsd-068664.png	68664	0
248	2	stimulus	131	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-031_nsd-046580.png	46580	0
252	2	stimulus	67	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-017_nsd-029783.png	29783	0
256	2	stimulus	143	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-043_nsd-065075.png	65075	0
260	2	stimulus	86	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-036_nsd-053986.png	53986	0
264	2	stimulus	139	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-039_nsd-058927.png	58927	0
268	2	stimulus	65	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-015_nsd-024598.png	24598	0
272	2	stimulus	16	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-016_nsd-022832.png	22832	0
276	2	stimulus	26	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-026_nsd-040897.png	40897	0
280	2	stimulus	114	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-014_nsd-027680.png	27680	0
284	2	stimulus	7	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-007_nsd-012349.png	12349	0
288	2	stimulus	62	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-012_nsd-015646.png	15646	0
292	2	stimulus	8	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-008_nsd-012621.png	12621	0
296	2	stimulus	132	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-032_nsd-046631.png	46631	0
300	2	blank	n/a	n/a	n/a	0
304	2	catch	151	catch_images/catch_07.png	n/a	1
308	2	stimulus	141	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-041_nsd-062322.png	62322	0
312	2	stimulus	91	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-041_nsd-061307.png	61307	0
316	2	stimulus	30	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-030_nsd-048042.png	48042	0
320	2	stimulus	99	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-049_nsd-070329.png	70329	0
324	2	stimulus	68	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-018_nsd-030878.png	30878	0
328	2	stimulus	10	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-010_nsd-014972.png	14972	0
332	2	stimulus	40	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-040_nsd-062775.png	62775	0
336	2	stimulus	105	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-005_nsd-013523.png	13523	0
340	2	blank	n/a	n/a	n/a	0
344	2	stimulus	44	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-044_nsd-065654.png	65654	0
348	2	stimulus	111	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-011_nsd-026416.png	26416	0
352	2	catch	151	catch_images/catch_06.png	n/a	1
356	2	catch	151	catch_images/catch_04.png	n/a	1
360	2	stimulus	127	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-027_nsd-040751.png	40751	0
364	2	stimulus	39	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-039_nsd-061705.png	61705	0
368	2	stimulus	140	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-040_nsd-060007.png	60007	0
372	2	stimulus	47	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-047_nsd-069505.png	69505	0
376	2	stimulus	93	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-043_nsd-064893.png	64893	0
380	2	stimulus	98	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-048_nsd-069911.png	69911	0
384	2	blank	n/a	n/a	n/a	0
388	2	stimulus	49	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/align_img-049_nsd-072423.png	72423	0
392	2	stimulus	144	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/rnc_baseline_img-044_nsd-067408.png	67408	0
396	2	stimulus	55	multivariate_rnc_controlling_images/V1-V4/imageset-nsd/disentangle_img-005_nsd-007884.png	7884	0
